"","model","dgp_spec","sample","SV","cross_corr","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare"
"446","NN4_MSE","g2",1,1,0.01,0.0472072075076706,0.00469834338829061,0.0638990274216449,-0.00419239582009765,0.0285969501478487,0.00178410766718794,0.0366808246840104,-0.0101631622917823
"447","NN4_MSE","g2",1,1,0.1,0.0474267302576367,0.00470912436850158,0.0641044618757408,-0.0155539130626553,0.0290364088198274,0.00180947737707842,0.0372254048044835,-0.0514891554851865
"448","NN4_MSE","g2",1,1,1,0.0470153733547788,0.00466444337103872,0.063684407091421,-0.00182152419586463,0.0286822433874455,0.0017886739267421,0.0368391325719608,-0.00576908627024135
"449","NN4_MSE","g2",2,0,0,0.0564745006773559,0.00535899860979775,0.0731711075074636,-0.00888016868929324,0.0544872020486456,0.00496681043266414,0.0702800942593898,-0.00915530334440562
"450","NN4_MSE","g2",2,1,0.01,0.0419285057645686,0.00379603778342907,0.0565432529840632,-0.0101252400178856,0.0387014838088057,0.00299687494723582,0.0494360556208094,-0.00959390424758797
"451","NN4_MSE","g2",2,1,0.1,0.0426720001849453,0.00383082438049851,0.0573445577245304,-0.0944879092442882,0.0393632347428708,0.00302795087814942,0.0501530629504128,-0.0868257375959573
"452","NN4_MSE","g2",2,1,1,0.041835281213828,0.00378193260203052,0.0564012595459762,-0.00329937554021795,0.0386571794217336,0.00299072058094277,0.0493548741783085,-0.00624613273159205
"453","NN4_MSE","g2",3,0,0,0.0560014151628107,0.00528061311251002,0.0726318522994192,-0.0128118361559034,0.0549556421618703,0.0050425072618017,0.0709707476852319,-0.0142464372439378
"454","NN4_MSE","g2",3,1,0.01,0.0407981009904167,0.0036015712769263,0.0550600880468135,-0.00597055259127759,0.043268138047947,0.00344577512687947,0.0560273747872938,-0.00338867760409571
"455","NN4_MSE","g2",3,1,0.1,0.0408444868505368,0.00359850504393835,0.0550509222778698,-0.00986357028604905,0.0432624765421745,0.00344718370617256,0.0560654334448528,-0.0078187651383844
"456","NN4_MSE","g2",3,1,1,0.0407757817142105,0.00359167029024631,0.0549833059770115,-0.00153458762879719,0.0433503088835295,0.00347214611940502,0.0562380626175998,-0.00409151035230351
"457","NN4_MSE","g3",1,0,0,0.0569693478355697,0.00549114972276052,0.0740523552249953,-0.00883687274842493,0.0565433147793538,0.0053222759465339,0.0728564398440078,-0.00971464278284748
"458","NN4_MSE","g3",1,1,0.01,0.04757135703665,0.00473298918921458,0.0642623722682556,-0.01415986060198,0.0289618759994186,0.00180916843378948,0.0371392731390975,-0.0389523674170815
"459","NN4_MSE","g3",1,1,0.1,0.0471725478750518,0.00468202684923658,0.0638742721837373,-0.00469835091382571,0.0285259179680939,0.00178394837340621,0.0367455657820325,-0.017389721142263
"460","NN4_MSE","g3",1,1,1,0.0469692774986547,0.00466021116186692,0.063647806573276,-0.000722335714206901,0.0290456737857391,0.00182996612807929,0.0374106911692323,-0.00286371649532362
"461","NN4_MSE","g3",2,0,0,0.0569609852556539,0.00546657410635446,0.0738852310404389,-0.0027331014110461,0.0555897805934984,0.00509584714879001,0.0712075197432455,-0.00470522365004511
"462","NN4_MSE","g3",2,1,0.01,0.0421734197845495,0.00382007289303396,0.0569415302586599,-0.0358404499572225,0.0390939082556725,0.00305313222598589,0.0501371222405054,-0.0405910754482816
"463","NN4_MSE","g3",2,1,0.1,0.0418322546163224,0.0037846087702437,0.0564481914724991,-0.00263541526246665,0.0388470899472695,0.00300636043717136,0.0495779667154044,-0.00812663482302978
"464","NN4_MSE","g3",2,1,1,0.0420250369864581,0.00379402573288692,0.0566470403554674,-0.011124093303847,0.0395901272016979,0.00309096757327172,0.0504331770460099,-0.0195321376284132
"465","NN4_MSE","g3",3,0,0,0.0565550993735257,0.00537568515054887,0.0732577109227125,-0.00109300718488503,0.0551793340782019,0.00508531051914411,0.0712955817269252,-0.000605707639002295
"466","NN4_MSE","g3",3,1,0.01,0.0407034252523176,0.0036046404187324,0.0550952170709717,0.000757255329910755,0.0433207466782818,0.00346335609677102,0.0561838683773885,-0.000146824785123467
"467","NN4_MSE","g3",3,1,0.1,0.0407728756044134,0.00360516644924785,0.0551073472556321,-0.00483336119366309,0.0432424508020143,0.00345378505780987,0.0561343176360454,-0.00116558804483371
"468","NN4_MSE","g3",3,1,1,0.0409816985828449,0.00361104079000864,0.055299029692771,-0.00302171789067569,0.0434268187324716,0.00347020334093583,0.056310179314048,-0.000820888304800893
"469","NN4_MAE","g1",1,0,0,0.0567684771155193,0.00543022106204591,0.0736526101931847,0.0184008330585595,0.0552482329235417,0.00506450790919742,0.0710821651862385,0.0358323413505919
"470","NN4_MAE","g1",1,1,0.01,0.0464052478478545,0.00462530026503228,0.063290461286539,0.0308220170701274,0.0273544540776622,0.00170488561060428,0.0353103720459263,0.0890250570316992
"471","NN4_MAE","g1",1,1,0.1,0.046332891150508,0.00462409769802947,0.0632542709248759,0.0309904307197442,0.0272838124113283,0.0017048355540565,0.0352515886437554,0.102533212891079
"472","NN4_MAE","g1",1,1,1,0.047200626449458,0.00471667675804485,0.0641253091781048,-0.0136294074008089,0.0283413957383315,0.0017755543273858,0.0365301941317376,0.0587135490028583
"473","NN4_MAE","g1",2,0,0,0.0564596856713003,0.00536181592579137,0.0731758375683207,0.0284833607477333,0.0553538023584013,0.0051135200807632,0.0713144946393299,-0.015912836259307
"474","NN4_MAE","g1",2,1,0.01,0.0410787379610317,0.00373432152678365,0.0557582112946779,0.0552267537280928,0.0377256690903435,0.0029290203372243,0.0483909451981425,0.0591935941106279
"475","NN4_MAE","g1",2,1,0.1,0.0407009227761146,0.00370051839626334,0.055458412173245,0.066207129733793,0.0375847490374058,0.00290361907251621,0.0481796438940427,0.0665838960895522
"476","NN4_MAE","g1",2,1,1,0.0420918659605578,0.00382857561313091,0.0568090884023854,0.00320507810770205,0.0391910624013409,0.00306694277363204,0.0500427720988769,0.00806911450246908
"477","NN4_MAE","g1",3,0,0,0.0560019058737519,0.0052747891617935,0.0725742658791324,0.029627874820897,0.0551329449899683,0.00509876006069776,0.071370825085864,-0.0021279504977292
"478","NN4_MAE","g1",3,1,0.01,0.0395259672053225,0.00351899910928174,0.0539103068456003,0.0805857220938533,0.0427243290454757,0.00340068451795946,0.0555272225758847,0.024940118792857
"479","NN4_MAE","g1",3,1,0.1,0.0393839234291292,0.00349775786183376,0.0537587029554922,0.0851323740301848,0.0426156766851793,0.00338678984918242,0.0554529178857696,0.0260073520867263
"480","NN4_MAE","g1",3,1,1,0.0407549903413199,0.00362874776669716,0.0552035679520609,0.0276797985981204,0.0437520513366456,0.00349340064231673,0.0564829974959636,-0.00718373152061786
"481","NN4_MAE","g2",1,0,0,0.0563487211674835,0.00533521596871758,0.0730212524181566,0.00328476482368483,0.0537355858695007,0.00486091263791582,0.0695965121596829,-0.00681531634778287
"482","NN4_MAE","g2",1,1,0.01,0.0470382871978909,0.00467177214103705,0.0637320106036992,0.000785839668274546,0.0284665663739383,0.00176821755012572,0.0365649241392074,-0.00711876800426499
