"","model","dgp_spec","SV","cross_corr","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare","validation_MAE_ave","validation_MSE_ave","validation_RMSE_ave","validation_RSquare_ave","test_MAE_ave","test_MSE_ave","test_RMSE_ave","test_RSquare_ave"
"21","ELN_MSE","g1",1,1,0.0410146777909728,0.00384192136604432,0.0564567911104623,0.110402419793093,0.0346141609518105,0.00256761085521453,0.044943248147694,0.167184137443566,0.041713048774283,0.00389080283174218,0.0570420505505434,0.0726514933271592,0.035444633279328,0.00263189052083221,0.0458589206097528,0.108299567201971
"22","ELN_MSE","g2",1,0.01,0.0423689979601289,0.00394918596756429,0.0576519587733913,0.0369786022745259,0.0362228649352301,0.00268981052894395,0.0466771820378358,0.0368766247749925,0.0417143375547194,0.00389789382559951,0.0570812048847798,0.0715701362287636,0.0353880316905678,0.00262626985049389,0.045790833832168,0.0921177795338746
"23","ELN_MSE","g2",1,0.1,0.0423391306692317,0.00394084103966693,0.0575847570646036,0.0378296053759491,0.0361829895412991,0.00268604701001796,0.0466268989312365,0.0372584714317361,0.0417026222885236,0.00389368481151921,0.0570462862228896,0.0709976813561009,0.0353460897729036,0.00262236949946139,0.0457414269188371,0.0939123495863651
"24","ELN_MSE","g2",1,1,0.0423621438577785,0.00393757935676325,0.0575859665925787,0.0364949932414759,0.0362760742993881,0.00269803468494032,0.0467788380777826,0.0378390860861442,0.041713048774283,0.00389080283174218,0.0570420505505434,0.0726514933271592,0.035444633279328,0.00263189052083221,0.0458589206097528,0.108299567201971
"25","ELN_MSE","g3",1,0.01,0.041753404167387,0.00390215311800841,0.0571362822436132,0.0688018098916189,0.0353534130815761,0.00262265548225272,0.0457767613153487,0.0991415743692051,0.0417143375547194,0.00389789382559951,0.0570812048847798,0.0715701362287636,0.0353880316905678,0.00262626985049389,0.045790833832168,0.0921177795338746
"26","ELN_MSE","g3",1,0.1,0.0417521854693424,0.00389831408902931,0.0571030109849847,0.0666305722000498,0.0352923296025988,0.00261674921436441,0.0457038950185011,0.100241023356302,0.0417026222885236,0.00389368481151921,0.0570462862228896,0.0709976813561009,0.0353460897729036,0.00262236949946139,0.0457414269188371,0.0939123495863651
"27","ELN_MSE","g3",1,1,0.0417623246740977,0.00389290777241897,0.0570833939485892,0.0710570669469088,0.0354436645867855,0.00263002602234177,0.0458546756037819,0.119875478076201,0.041713048774283,0.00389080283174218,0.0570420505505434,0.0726514933271592,0.035444633279328,0.00263189052083221,0.0458589206097528,0.108299567201971
"28","ELN_MAE","g1",1,0.01,0.0410080204561324,0.00384149538416295,0.0564478267624295,0.109227865427021,0.0345786199058191,0.00256521327284003,0.0449052160427522,0.140982121998861,0.0416963786760385,0.00389703689567813,0.0570699842334412,0.0721750772631917,0.035369369224781,0.00262479957266755,0.04576840861206,0.0935313180936578
"29","ELN_MAE","g1",1,0.1,0.0410010199065712,0.00384082537474071,0.0564420343204301,0.10886001125761,0.0345581569188255,0.00256367069500148,0.0448860939854597,0.144627215659866,0.0416855977627196,0.00389329019390502,0.0570386134212951,0.0714746307693094,0.0353387586470101,0.00262268631429457,0.0457342529478687,0.0948068526967148
"30","ELN_MAE","g1",1,1,0.0410029936416691,0.00384050824425626,0.0564447273522085,0.110773082647347,0.0345989398720454,0.0025666985023435,0.0449290953118007,0.167771215378541,0.0417042834067443,0.00389112434947886,0.0570429413994625,0.072616069300134,0.0354562678946232,0.0026334987284888,0.04587550269785,0.107459037948115
