yyyymm,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
201404,0.05841330143980678,-0.020570216584763844,-0.022495129739414588,293.07346207722
201405,0.058658889904406056,0.003771077689451261,0.009591862288049757,290.62456503674247
201406,0.058450779867276134,-0.003909518101921838,-0.009892084835403936,292.69774729333506
201407,0.058847863414344455,0.006371176783523322,0.02668437268228363,288.76104237815485
201408,0.05996789463525963,0.018725572879864427,0.02903748659021943,278.07528844443203
201409,0.06047819371009969,0.008519191682863221,0.008758316861669169,273.4024339906235
201410,0.06058291633943742,0.0018816497776721957,0.011723952791521386,272.4580530468935
201411,0.06067605517729061,0.001715975089333136,0.01135951265291002,271.622238994231
201412,0.06150354595343581,0.013841730660138999,-0.0030062927687959373,264.362401854347
201501,0.05477058450591964,-0.10904756072772732,-0.09596068065867658,333.35367600583226
201502,0.059111049413890435,0.0776785740532989,0.0777326401321865,286.1954077666929
201503,0.05839791826414955,-0.012295839536740455,0.0017223796997045682,293.2278851964995
201504,0.06181281967611992,0.0580386766046897,0.043068329241225944,261.72360281265276
201505,0.06211024551036593,0.005318079438696066,0.022211944134569617,259.22298550038437
201506,0.06449010367388847,0.038900351718439384,-0.004933460261864142,240.44394771064472
201507,0.06606625689214915,0.025616854718635423,0.04090484066568978,229.10818061223233
201508,0.061124570782868495,-0.07325313482419595,-0.07425248234030046,267.6506823741281
201509,0.058097037018649815,-0.04920598114425168,-0.054099934320986254,296.2729710240741
201510,0.06115157112949044,0.052050166890132296,0.05618577573603889,267.41438212329655
201511,0.06127983005221596,0.002429173978742551,0.011574167036527472,266.2961548917292
201512,0.0626751878307633,0.02313619931954913,-0.02623764027137976,254.57087286992697
201601,0.05495017020629559,-0.1225262904034726,-0.11011785618192049,331.17833321123896
201602,0.05120161313140982,-0.06972736746523864,-0.08409906865222772,381.4456901672944
201603,0.051083329959896395,-0.00514975647651504,0.04203659304580776,383.21420611844525
201604,0.05925970971827429,0.15717490436157786,0.06395249501995548,284.7612957599135
201605,0.05919053723817643,-0.0013565016559614386,0.018777197132690215,285.42725203331844
201606,0.0532210515946517,-0.1010609323928299,-0.08057795334260953,353.0474645863263
201607,0.05599211970258008,0.0499671089700007,0.061349273441333896,318.96731460801385
201608,0.05937766074576489,0.059292583118758,0.07711222232948134,283.63108865521394
201609,0.058146613355872116,-0.02088827227495942,-0.032019331978734855,295.7679762786474
201610,0.06057464411711587,0.04124543983106864,0.06262389766930987,272.53247321115475
201611,0.06736222757802579,0.11222955995294932,0.13450943628343004,220.37743272899843
201612,0.07429144667325573,0.10470147540602437,0.05811608753466069,181.1850537471384
201701,0.07499556707253285,0.01269604685019523,0.007895044352135061,177.7987950009602
201702,0.07664262799484296,0.02530646720928516,0.03506533427208325,170.23906460533277
201703,0.07420417959419087,-0.028185495652309905,-0.013598821264713346,181.61146605893472
201704,0.07390524981552873,-0.000826039947728098,-0.006780266923697598,183.08359067563336
201705,0.0721421241519751,-0.02070853057498118,-0.020816914043857326,192.1419300915639
201706,0.07583220598704228,0.05396818797716065,0.06051888609719569,173.8972123338923
201707,0.07647350183364181,0.011947945461605238,0.011551230892389963,170.99288694526152
201708,0.07516069380861741,-0.013565303783872681,-0.01759875940394029,177.01841147232236
201709,0.07789307605838672,0.03972746445044478,0.05443555831042546,164.81710836466067
201710,0.07911758164954924,0.019559701896942762,0.034299211255920836,159.7548280720447
201711,0.08010490559844825,0.016516853918709027,0.01682479935961778,155.8410171428524
201712,0.08338266107053278,0.04511141286541442,0.02837819721978252,143.82967458696396
201801,0.0875997825268371,0.05525838203573136,0.05346133243806883,130.3148606627253
201802,0.08386490866382555,-0.037376611685589374,-0.028291323196117824,142.18030559379378
201803,0.07673836384202787,-0.08022479613248533,-0.0588023632919048,169.81456207779323
201804,0.07672982292813713,0.0035352743897272836,0.008346013251737672,169.85236881885652
201805,0.07428164737627563,-0.028261314853785982,-0.017366716134198046,181.2328610676421
201806,0.07461427996583037,0.0076944538143338655,-0.011565979181656472,179.62058035893673
201807,0.07851773145201182,0.05559142873466073,0.06376399067123928,162.20510305130006
201808,0.07686296015021872,-0.017133838208012928,-0.01402650300774777,169.2644630835505
201809,0.07574486784904005,-0.010878913588902958,-0.02046333238125031,174.29847027763856
201810,0.07093170781145712,-0.060068375079179996,-0.04473856845508328,198.75550539956603
201811,0.07064463992284029,-0.0014651449388355324,0.003397549750544071,200.3740924262395
