yyyymmdd,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
20150605,0.06302507983329513,0.0003655372304734683,0.004203387277774029,251.7521516747124
20150608,0.06280581098644697,-0.003499211758567653,-0.0062627895272661105,253.5130640240216
20150609,0.06296420686313339,0.0024990098492088937,-9.141350549546345e-5,252.23916834458709
20150610,0.06384834045483476,0.014020917566395669,0.011849505189362342,245.30182136882243
20150611,0.0638774682169524,0.00044657176381432515,0.0024574576902751666,245.07815990451112
20150612,0.06372835620237377,-0.002343608208915511,-0.0045215710577005686,246.22637251785534
20150615,0.06330809032837371,-0.0066057899973939686,-0.006849258221046206,249.50633294332786
20150616,0.06331878775417377,0.00015247844621064816,0.00023070416000248173,249.42203410837587
20150617,0.06300973407462258,-0.004897274480461981,-0.006807100260143306,251.87479298626025
20150618,0.06327102456645833,0.004126490052656007,3.9961543851774195e-7,249.79875277670837
20150619,0.06299083885857829,-0.004445312488255058,-0.0041820305376456535,252.0259242467177
20150622,0.0639763481974942,0.01562469856234672,0.01776122673308378,244.3211740119068
20150623,0.06436008489178512,0.005990081556600827,0.010948124971985385,241.41640779738665
20150624,0.06400885939358747,-0.005460428490753916,-0.004640341675945514,244.07304722332447
20150625,0.06388965145043783,-0.0018699794699815655,-0.003440062164451696,244.98470001895927
20150626,0.0640340209999578,0.002250559920634959,0.0027969283108579823,243.8812721867142
20150629,0.062358933284933936,-0.026166637660914014,-0.02900346504409168,257.1595428008259
20150630,0.06449010367388847,0.03414701864976501,0.0001386205302147392,240.44394771064472
20150701,0.06497610710535408,0.0075344681498242996,0.012096275070519358,236.86049030523967
20150702,0.06479956187728453,-0.002712746916888577,-0.002077400897662729,238.15289267146156
20150706,0.06400718245873632,-0.012225981570197894,-0.011442403554980163,244.08583641181806
20150707,0.06308332505637732,-0.014441286267475194,-0.00964825824247506,251.287477663406
20150708,0.06228054114434703,-0.012745156814089253,-0.014304483342346352,257.807320544828
20150709,0.06292074455828121,0.01024946736470551,0.011133802772843149,252.58775550769022
20150710,0.0639577764667482,0.016460067862787517,0.015194114502067313,244.4630840686096
20150713,0.06480556118959702,0.013247127359216432,0.015890510075699193,238.10880116381034
20150714,0.06528019011244472,0.007326143804386623,0.006857734575135943,234.6589802032118
20150715,0.06556873624576962,0.0044281323768969,0.007930624160956024,232.59821280629393
20150716,0.06622864085911633,0.010075795084931456,0.012286799805046655,227.98607133450153
