% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2018
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2018 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2018, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
198011	 -0.02423500	  0.00347847	  0.02705181	
198012	 -0.05640115	 -0.01361886	  0.02811805	
198101	 -0.02295765	  0.00422293	  0.04148102	
198102	 -0.00759087	  0.00089876	  0.00054072	
198103	 -0.02136751	  0.01305558	  0.01612267	
198104	 -0.02811204	  0.01014229	 -0.01296720	
198105	  0.00737643	  0.02885112	 -0.02343009	
198106	  0.00168512	  0.03039681	  0.05798683	
198107	 -0.01763558	  0.01050965	 -0.01824140	
198108	 -0.07656454	 -0.04380308	 -0.00484925	
198109	 -0.15284117	 -0.12009962	  0.09371130	
198110	 -0.04560690	 -0.00081910	 -0.02423971	
198111	 -0.03155473	 -0.01170756	  0.06222590	
198112	 -0.02361177	  0.02649161	  0.00075210	
198201	 -0.06997491	 -0.05818969	 -0.01964284	
198202	 -0.12230408	 -0.08172736	 -0.01159953	
198203	 -0.03095186	  0.01052084	  0.04327787	
198204	  0.00482058	  0.04486814	 -0.02415880	
198205	 -0.00251925	 -0.00813621	  0.02915877	
198206	 -0.01228039	  0.01938785	  0.05041966	
198207	  0.01259251	  0.01741678	 -0.01555954	
198208	 -0.05756437	 -0.03730970	 -0.00611499	
198209	 -0.02624405	  0.02428869	  0.04211865	
198210	 -0.04193569	 -0.00559223	 -0.03800456	
198211	 -0.00449671	  0.02811753	  0.01122198	
198212	  0.00074071	  0.02953899	 -0.03207740	
198301	 -0.02969839	  0.00135781	 -0.05277135	
198302	  0.00850323	  0.03915380	 -0.03107800	
198303	 -0.04780716	 -0.02680221	  0.04254543	
198304	 -0.00442833	  0.02515943	  0.03709566	
198305	 -0.07841554	 -0.04616970	  0.01855947	
198306	 -0.00060507	  0.05084482	 -0.00047818	
198307	 -0.04744861	 -0.02469458	  0.04571807	
198308	 -0.04144340	 -0.01032472	  0.04429352	
198309	 -0.02298211	  0.02671064	  0.01047678	
198310	  0.03345201	  0.05978468	  0.05752878	
198311	  0.01417944	  0.05049535	 -0.06988177	
198312	 -0.03348914	  0.01442526	  0.05027516	
198401	 -0.02523864	 -0.00548089	  0.06903736	
198402	 -0.04212508	 -0.02749666	  0.00835075	
198403	 -0.00978903	  0.03030662	  0.00478763	
198404	 -0.08441743	 -0.04726842	  0.00455259	
198405	  0.00697124	  0.04613376	  0.02467480	
198406	 -0.01612776	  0.02508994	 -0.00257441	
198407	 -0.02666257	  0.01130033	  0.01756663	
198408	  0.00195559	  0.03306818	 -0.03151730	
198409	 -0.01877108	  0.01102610	  0.02811503	
198410	 -0.02984971	 -0.01140094	 -0.00409424	
198411	 -0.00247202	  0.00600419	  0.01835124	
198412	 -0.03583779	 -0.00323002	 -0.00476351	
198501	 -0.00842383	  0.01674787	 -0.01579757	
198502	 -0.01047934	  0.00599177	  0.02530899	
198503	  0.00590567	  0.00341880	  0.04009729	
198504	  0.00999762	  0.02951152	  0.03807552	
198505	  0.00002201	  0.02249888	 -0.00771766	
198506	 -0.00496763	 -0.00257410	  0.00734947	
198507	 -0.02195187	  0.02292248	 -0.01775831	
198508	  0.02646643	  0.03303748	  0.02683816	
198509	 -0.01922848	 -0.00916418	  0.01090789	
198510	 -0.01873488	 -0.01504571	  0.05136325	
198511	 -0.00198920	  0.02681752	  0.00670833	
198512	 -0.01582624	  0.02381150	 -0.02023055	
198601	 -0.06552925	 -0.03598312	  0.01704474	
198602	 -0.00921279	  0.02021292	  0.00338627	
198603	  0.00795219	  0.04452286	  0.04084841	
198604	  0.02940447	  0.02386154	 -0.00389583	
198605	  0.00523409	  0.01895485	  0.02525219	
198606	 -0.07055883	 -0.06586793	  0.05913729	
198607	 -0.00224316	  0.01834881	 -0.01276573	
198608	 -0.02727706	  0.01283591	 -0.02794443	
198609	 -0.00465437	 -0.02441098	  0.04441126	
198610	  0.03935061	  0.06212867	  0.01627154	
198611	  0.01649946	  0.02184694	 -0.03110960	
198612	  0.01102618	  0.03185254	 -0.01300667	
198701	 -0.02906564	 -0.00965686	 -0.07254483	
198702	  0.00544025	  0.02523716	 -0.04311487	
198703	 -0.02364455	  0.01677579	 -0.00962586	
198704	 -0.12649836	 -0.10926264	 -0.03703834	
198705	  0.00526550	  0.03107432	  0.01000141	
198706	  0.00747036	  0.05762152	  0.02376116	
198707	  0.01872214	 -0.02557078	  0.01122784	
198708	 -0.00015518	  0.01131918	 -0.04674810	
198709	 -0.04195289	 -0.05542179	  0.00554181	
198710	 -0.46143022	 -0.39273667	  0.03521686	
198711	 -0.02511653	 -0.07022888	 -0.00934002	
198712	 -0.10545586	 -0.02560024	  0.00498139	
198801	 -0.11095032	 -0.07563463	  0.04406140	
198802	 -0.03342877	  0.06309298	  0.00344080	
198803	 -0.03042057	  0.02780046	 -0.01999314	
198804	  0.00875387	  0.02916376	 -0.02540313	
198805	 -0.06857078	 -0.00149834	 -0.00536734	
198806	  0.00674872	  0.01964722	 -0.00977774	
198807	  0.01685931	  0.03249044	 -0.00864595	
198808	 -0.02477803	  0.02657292	  0.03562626	
198809	 -0.02332725	  0.00128596	  0.01499962	
198810	 -0.04266262	  0.00323780	  0.02371050	
198811	 -0.06690996	 -0.00896013	 -0.00078422	
198812	 -0.02435421	  0.00279232	 -0.04435023	
198901	  0.01821545	  0.07467951	 -0.00094358	
198902	 -0.00257917	  0.01300884	 -0.00412739	
198903	  0.00023630	  0.00635758	 -0.00892180	
198904	 -0.02155465	 -0.00360743	 -0.01875403	
198905	  0.04316963	  0.04793396	 -0.03822984	
198906	 -0.00159906	  0.00058738	  0.07276301	
198907	  0.01780266	  0.02433156	  0.03107300	
198908	 -0.08469954	 -0.05378550	  0.00649708	
198909	  0.02803304	  0.01588240	 -0.04734958	
198910	 -0.15740087	 -0.11305736	  0.02685953	
198911	 -0.00958120	  0.01645334	 -0.02491656	
198912	 -0.02159079	  0.00923939	  0.02021892	
199001	 -0.02319098	 -0.00541738	 -0.03386486	
199002	 -0.00455879	  0.02585190	 -0.03075950	
199003	 -0.02216372	  0.03512902	 -0.02668436	
199004	  0.01049139	  0.00997038	  0.05799032	
199005	  0.01134870	  0.00948758	 -0.00683647	
199006	  0.00240171	 -0.00344863	  0.02593783	
199007	 -0.02548410	 -0.01570650	  0.05084728	
199008	  0.02497992	  0.00294979	  0.04563556	
199009	 -0.01568347	  0.05698146	  0.02012254	
199010	  0.05201193	  0.04925329	 -0.01222815	
199011	  0.02180158	  0.00707619	 -0.01260131	
199012	 -0.05574343	 -0.03071142	 -0.03262724	
199101	  0.03896199	  0.02252077	 -0.09368777	
199102	 -0.02117577	 -0.03823120	 -0.02036569	
199103	 -0.02611880	 -0.02605769	 -0.00504698	
199104	  0.00646514	  0.04385570	  0.01733852	
199105	 -0.00605746	  0.00035756	 -0.00883988	
199106	  0.04171325	  0.04910042	  0.02890272	
199107	 -0.00134881	  0.00293806	  0.01752819	
199108	 -0.01697014	 -0.02157038	 -0.01800622	
199109	 -0.01443778	  0.01602731	  0.01091772	
199110	 -0.02167411	  0.02028640	  0.02057336	
199111	  0.02613736	 -0.00265360	  0.04381260	
199112	 -0.05323512	 -0.07396852	 -0.05182236	
199201	 -0.06143215	 -0.03846451	 -0.06950411	
199202	 -0.03925570	  0.01047928	 -0.05088761	
199203	 -0.03850107	  0.01772532	 -0.00363603	
199204	  0.03362592	  0.04603279	 -0.00434155	
199205	  0.00129319	  0.05039919	  0.00252168	
199206	  0.06758996	  0.00819410	  0.02317403	
199207	 -0.03713605	 -0.05271790	  0.02357120	
199208	 -0.00577717	  0.00337166	  0.05003105	
199209	  0.01257838	  0.03288850	 -0.02288804	
199210	 -0.05945285	 -0.05512802	 -0.02121410	
199211	  0.00066856	  0.03159962	 -0.05875097	
199212	  0.00965986	  0.02403023	 -0.02856879	
199301	  0.00478333	  0.03451556	 -0.00214896	
199302	 -0.02510693	 -0.00228349	  0.06782499	
199303	 -0.03732509	 -0.01015413	 -0.04096191	
199304	  0.00301181	  0.03161186	 -0.01757492	
199305	 -0.01454372	  0.01398680	  0.04327865	
